time,density,gyrate,hbnum,hbond,kinetic_energy,potential,pressure,rmsd,rmsf,sasa,temperature,total_energy
1200,1020.6450074,1.546502,128.0,128.0,81776.5546876,-475103.45625,0.044180799999999465,4e-07,0.193325,85.787,302.2481994,-393326.9
1210,1020.4728638,1.547162,129.0,129.0,81225.0156252,-475063.11875,-9.527215599999995,4e-07,0.193325,86.005,300.2096986,-393838.10625
1220,1023.7257079999999,1.546965,125.0,125.0,81178.3953126,-475002.95625,-85.0737862,4e-07,0.193325,85.811,300.0373962,-393824.55625
1230,1021.8574705999999,1.544048,126.0,126.0,80863.4953124,-475603.94375,-45.0402108,4e-07,0.193325,87.061,298.8735046,-394740.45
1240,1021.1438596,1.547304,120.0,120.0,81387.778125,-475117.36875,-77.7629448,4e-07,0.193325,85.765,300.81129139999996,-393729.59375
1250,1022.6898315999999,1.536613,119.0,119.0,80939.1484374,-475364.11875,88.8202944,4e-07,0.193325,84.808,299.1531314,-394424.96875
1260,1022.1917111999999,1.540233,127.0,127.0,81403.8359374,-474580.6875,36.692719,4e-07,0.193325,84.761,300.87063,-393176.85625
1270,1022.3711792,1.543895,121.0,121.0,81030.9296876,-475096.53125,43.7384536,4e-07,0.193325,85.679,299.492346,-394065.59375
1280,1019.2992554,1.551614,130.0,130.0,80920.5750002,-474931.71875,-81.23346260000001,4e-07,0.193325,87.311,299.084497,-394011.14375
1290,1020.106494,1.539641,135.0,135.0,81420.6640624,-474929.7,182.1134628,4e-07,0.193325,85.19,300.93283099999996,-393509.0375
1300,1020.0817382000001,1.543977,127.0,127.0,81027.7765626,-475009.78125,-14.544250800000004,4e-07,0.193325,85.803,299.4806884,-393982.0125
1310,1019.9519778,1.548125,126.0,126.0,81186.4453124,-475126.53125,-17.680969999999995,4e-07,0.193325,86.821,300.06713879999995,-393940.0875
1320,1022.1947266,1.552095,126.0,126.0,80916.434375,-475207.13125,31.421181600000004,4e-07,0.193325,85.153,299.0691894,-394290.6875
1330,1020.2871094,1.542372,124.0,124.0,81283.765625,-474803.9375,-37.8465264,4e-07,0.193325,84.161,300.4268494,-393520.18125
